ticker,commodity_type,index,close,rsi14,macd_hist,macd_improving,macd_slope,macd_slope_cross_up,bullish_day,drawdown_lookback,drawdown_entry_th,rsi_support_th,rsi_support_ok,structural_bull,deep_dip,turn_confirm,buy_gate,primed,strong_buy,fwd_1y_return,fwd_2y_return,fwd_3y_return
XAD5.MI,gold,,98.02999877929688,41.7157551710216,-0.6901123234676905,True,0.06340371384260102,False,False,0.075450345110841,0.07304582329403944,43.07797003560589,True,False,True,True,True,False,True,-0.04590431557722674,0.01683159794374478,0.17657857568238056
XAD5.MI,gold,,97.45999908447266,40.25615752415655,-0.6491024039959736,True,0.04100991947171684,False,False,0.08082617932178618,0.07321286315847991,43.06009111133092,True,False,True,True,True,False,True,-0.03642515345486874,0.02175254223781109,0.1842807228933585
XAD5.MI,gold,,96.61000061035156,38.11449320897432,-0.6406677210283007,True,0.008434682967672913,False,False,0.08884276409880178,0.07438047915422873,43.04742077515791,True,False,True,True,True,False,True,-0.026498266664118697,0.03457195235265087,0.1979091463180611
XAD5.MI,gold,,97.8499984741211,42.887963280857726,-0.5182538302313731,True,0.12241389079692766,False,True,0.07714798075403718,0.07551182063481311,42.97077188044375,True,False,True,True,True,False,True,-0.033520682988711026,0.03198778673093505,0.1951967171381468
XAD5.MI,gold,,97.36000061035156,41.52491287876866,-0.44004019898119395,True,0.0782136312501791,False,False,0.08176929424466044,0.07583171124110086,42.905315868887705,True,False,True,True,True,False,True,-0.02783483019190247,0.03481922112157432,0.20357435877744745
XAD5.MI,gold,,97.43000030517578,42.345564716413485,-0.25529231530272223,True,0.06075426415332008,False,False,0.08110910660314283,0.07638292236447554,42.89880864837646,True,False,True,True,True,False,True,-0.02760959081371739,0.018166854536819654,0.19952789059340237
XAD5.MI,gold,,95.98999786376952,40.52247119237712,-0.33679613840416356,True,0.04229569617912332,True,True,0.0807316649396658,0.07702688326945947,42.82494990155509,True,False,True,True,True,False,True,-0.011146991547418827,0.02218986280044999,0.20689656268705403
XAD5.MI,gold,,95.83999633789062,40.13373822524868,-0.2926767884172785,True,0.04411934998688505,False,False,0.08216818599415,0.07713407869093346,42.809196556729425,True,False,True,True,True,False,True,-0.015964094717853983,0.03860605925517868,0.20200335298528738
XAD5.MI,gold,,95.41999816894533,39.00545734427607,-0.26629070217967143,True,0.026386086237607076,False,False,0.08144011655905457,0.07794017714183585,42.80291347918858,True,False,True,True,True,False,True,-0.009955952279103952,0.04579755638691929,0.20949492639656997
XAD5.MI,gold,,104.80999755859376,43.2900442342278,-0.8456475800166634,True,0.08224688046529582,False,True,0.06611427939408879,0.06522989144239248,42.445094647460074,False,True,True,True,True,False,False,0.03091313394366524,0.08520179861833754,0.00400730663222304
